date,open,high,low,close,last,yesterday,volume,value,trades
2016-08-14,5300.0,5300.0,5300.0,5300.0,5300.0,1000.0,7000000.0,37100000000.0,17653.0
2016-08-15,5565.0,5565.0,5565.0,5565.0,5565.0,5300.0,6810.0,37897650.0,34.0
2016-08-16,5843.0,5843.0,5843.0,5843.0,5843.0,5565.0,13205.0,77156815.0,66.0
2016-08-17,6135.0,6135.0,6135.0,6135.0,6135.0,5843.0,18463.0,113270505.0,101.0
2016-08-20,6441.0,6441.0,6441.0,6441.0,6441.0,6135.0,17431.0,112273071.0,95.0
2016-08-21,6763.0,6763.0,6763.0,6763.0,6763.0,6441.0,29862.0,201956706.0,142.0
2016-08-22,7101.0,7101.0,7101.0,7101.0,7101.0,6763.0,21926.0,155696526.0,120.0
2016-08-23,7456.0,7456.0,7456.0,7456.0,7456.0,7101.0,78355.0,584214880.0,147.0
2016-08-24,7828.0,7828.0,7828.0,7828.0,7828.0,7456.0,59245.0,463769860.0,201.0
2016-08-27,8219.0,8219.0,8219.0,8219.0,8219.0,7828.0,569103.0,4677457557.0,334.0
2016-08-28,8629.0,8629.0,8629.0,8629.0,8629.0,8219.0,163538.0,1411169402.0,479.0
2016-08-29,9060.0,9060.0,9060.0,9060.0,9060.0,8629.0,627401.0,5684253060.0,565.0
2016-08-30,9513.0,9513.0,9513.0,9513.0,9513.0,9060.0,458323.0,4360026699.0,1353.0
2016-08-31,9988.0,9988.0,9705.0,9962.0,9850.0,9513.0,7635660.0,76067586177.0,15201.0
2016-09-03,9464.0,9550.0,9464.0,9465.0,9464.0,9962.0,478210.0,4526144398.0,638.0
2016-09-04,8992.0,8992.0,8992.0,8992.0,8992.0,9465.0,257530.0,2315709760.0,125.0
2016-09-05,8543.0,8543.0,8543.0,8543.0,8543.0,8992.0,13050.0,111486150.0,23.0
2016-09-06,8470.0,8970.0,8460.0,8741.0,8970.0,8543.0,3071620.0,26849023317.0,6270.0
2016-09-07,8990.0,9170.0,8760.0,8979.0,8890.0,8741.0,921974.0,8277968674.0,1329.0
2016-09-10,8700.0,8750.0,8531.0,8555.0,8550.0,8979.0,1364767.0,11676009681.0,1060.0
2016-09-11,8661.0,8700.0,8462.0,8570.0,8500.0,8555.0,369441.0,3166094153.0,433.0
2016-09-13,8301.0,8649.0,8250.0,8459.0,8369.0,8570.0,682086.0,5769883103.0,556.0
2016-09-14,8400.0,8400.0,8037.0,8074.0,8037.0,8459.0,693539.0,5599868498.0,609.0
2016-09-17,7900.0,8350.0,7780.0,8096.0,8200.0,8074.0,435247.0,3523895492.0,474.0
2016-09-18,8380.0,8500.0,8336.0,8491.0,8500.0,8096.0,1299527.0,11033935203.0,699.0
2016-09-19,8700.0,8880.0,8500.0,8630.0,8537.0,8491.0,256020.0,2209435895.0,402.0
2016-09-21,8700.0,8700.0,8451.0,8548.0,8520.0,8630.0,249490.0,2132742490.0,403.0
2016-09-24,8670.0,8695.0,8550.0,8591.0,8552.0,8548.0,268410.0,2305812248.0,273.0
2016-09-25,8570.0,8600.0,8301.0,8420.0,8328.0,8591.0,352943.0,2971848052.0,297.0
2016-09-26,8311.0,8450.0,8311.0,8370.0,8350.0,8420.0,156248.0,1307772256.0,180.0
2016-09-27,8400.0,8468.0,8050.0,8162.0,8200.0,8370.0,393900.0,3214953875.0,310.0
2016-09-28,8190.0,8294.0,8000.0,8096.0,8050.0,8162.0,580746.0,4701689301.0,436.0
2016-10-01,8053.0,8280.0,8053.0,8123.0,8126.0,8096.0,567199.0,4607469701.0,334.0
2016-10-02,8101.0,8529.0,8100.0,8434.0,8529.0,8123.0,595178.0,5019506860.0,595.0
2016-10-03,8550.0,8800.0,8477.0,8666.0,8670.0,8434.0,614854.0,5328522082.0,575.0
2016-10-04,8670.0,8799.0,8233.0,8439.0,8420.0,8666.0,327808.0,2766445199.0,286.0
2016-10-05,8420.0,8448.0,8120.0,8226.0,8379.0,8439.0,253980.0,2089322969.0,290.0
2016-10-08,8379.0,8472.0,8151.0,8346.0,8289.0,8226.0,91485.0,763534144.0,151.0
2016-10-09,8224.0,8420.0,8161.0,8207.0,8170.0,8346.0,154807.0,1270492211.0,165.0
2016-10-10,8152.0,8500.0,8152.0,8379.0,8440.0,8207.0,194689.0,1631343318.0,259.0
2016-10-15,8405.0,8790.0,8379.0,8690.0,8701.0,8379.0,840139.0,7300535683.0,617.0
2016-10-16,8650.0,8792.0,8401.0,8574.0,8401.0,8690.0,203623.0,1745806758.0,199.0
2016-10-17,8252.0,8600.0,8252.0,8377.0,8300.0,8574.0,151206.0,1266632425.0,169.0
2016-10-18,8251.0,8500.0,8251.0,8340.0,8300.0,8377.0,333466.0,2781234191.0,257.0
2016-10-19,8475.0,8757.0,8300.0,8656.0,8757.0,8340.0,1001973.0,8673431006.0,674.0
2016-10-22,8780.0,9088.0,8780.0,9061.0,9088.0,8656.0,952748.0,8632677626.0,470.0
2016-10-23,9299.0,9389.0,8608.0,8861.0,8700.0,9061.0,640560.0,5676164178.0,416.0
2016-10-24,8693.0,9150.0,8693.0,9020.0,8996.0,8861.0,480774.0,4336776955.0,351.0
2016-10-25,9141.0,9141.0,8759.0,8907.0,8800.0,9020.0,299770.0,2670096593.0,283.0
2016-10-26,8621.0,8900.0,8600.0,8713.0,8650.0,8907.0,590571.0,5145695044.0,361.0
2016-10-29,8600.0,8851.0,8501.0,8672.0,8501.0,8713.0,186186.0,1614646786.0,172.0
2016-10-30,8505.0,8900.0,8505.0,8727.0,8650.0,8672.0,372942.0,3254511173.0,230.0
2016-10-31,8700.0,8750.0,8591.0,8660.0,8612.0,8727.0,307068.0,2659144735.0,215.0
2016-11-01,8700.0,8700.0,8400.0,8537.0,8411.0,8660.0,167901.0,1433400167.0,133.0
2016-11-02,8608.0,8608.0,8180.0,8319.0,8180.0,8537.0,268415.0,2232982060.0,218.0
2016-11-05,8499.0,8499.0,8103.0,8184.0,8120.0,8319.0,414374.0,3391067460.0,257.0
2016-11-06,8130.0,8393.0,8130.0,8296.0,8300.0,8184.0,81033.0,672210307.0,85.0
2016-11-07,8231.0,8710.0,8231.0,8491.0,8660.0,8296.0,332642.0,2824411064.0,225.0
2016-11-08,8360.0,8679.0,8360.0,8564.0,8510.0,8491.0,157426.0,1348119891.0,124.0
2016-11-09,8247.0,8520.0,8136.0,8162.0,8203.0,8564.0,382162.0,3119357645.0,209.0
2016-11-12,8430.0,8448.0,8150.0,8283.0,8150.0,8162.0,85857.0,711131959.0,77.0
2016-11-13,8357.0,8549.0,8163.0,8395.0,8433.0,8283.0,160363.0,1346255446.0,118.0
2016-11-14,8280.0,8790.0,8280.0,8640.0,8790.0,8395.0,539889.0,4664623235.0,350.0
2016-11-15,8797.0,8915.0,8700.0,8774.0,8780.0,8640.0,653753.0,5736124875.0,369.0
2016-11-16,8886.0,8886.0,8626.0,8779.0,8722.0,8774.0,184515.0,1619875343.0,157.0
2016-11-19,8640.0,8700.0,8370.0,8523.0,8440.0,8779.0,145634.0,1241285557.0,103.0
2016-11-21,8789.0,8789.0,8500.0,8629.0,8610.0,8523.0,120608.0,1040765422.0,73.0
2016-11-22,8697.0,8814.0,8610.0,8743.0,8633.0,8629.0,169872.0,1485273434.0,117.0
2016-11-23,8698.0,8700.0,8414.0,8563.0,8414.0,8743.0,104495.0,894805090.0,82.0
