date,open,high,low,close,last,yesterday,volume,value,trades
2001-03-25,2798.0,2802.0,2798.0,2800.0,2800.0,2798.0,110870.0,310368080.0,115.0
2001-03-26,2801.0,2810.0,2797.0,2798.0,2798.0,2800.0,96613.0,270595190.0,98.0
2001-03-27,2795.0,2800.0,2795.0,2795.0,2795.0,2798.0,166600.0,466405131.0,120.0
2001-03-28,2800.0,2849.0,2796.0,2849.0,2849.0,2795.0,80676.0,227566666.0,104.0
2001-03-31,2840.0,2848.0,2800.0,2838.0,2838.0,2849.0,177362.0,500068371.0,161.0
2001-04-03,2840.0,2870.0,2838.0,2868.0,2868.0,2838.0,55562.0,158053247.0,86.0
2001-04-07,2868.0,2930.0,2868.0,2900.0,2900.0,2868.0,122642.0,355157582.0,144.0
2001-04-08,2920.0,3020.0,2903.0,3004.0,3004.0,2900.0,299359.0,890538835.0,270.0
2001-04-09,3028.0,3140.0,3020.0,3102.0,3102.0,3004.0,434320.0,1349633103.0,378.0
2001-04-10,3155.0,3157.0,3069.0,3080.0,3080.0,3102.0,592395.0,1839935140.0,467.0
2001-04-11,3082.0,3100.0,3071.0,3080.0,3080.0,3080.0,604953.0,1865310571.0,458.0
2001-04-14,3084.0,3110.0,3080.0,3092.0,3092.0,3080.0,434057.0,1343731773.0,398.0
2001-04-15,3093.0,3095.0,3050.0,3059.0,3059.0,3092.0,229777.0,707240663.0,261.0
2001-04-16,3058.0,3068.0,3029.0,3068.0,3068.0,3059.0,268061.0,816117110.0,325.0
2001-04-17,3068.0,3100.0,3065.0,3077.0,3077.0,3068.0,386136.0,1187554196.0,311.0
2001-04-18,3079.0,3100.0,3072.0,3079.0,3079.0,3077.0,534555.0,1650557427.0,387.0
2001-04-21,3079.0,3101.0,3078.0,3087.0,3087.0,3079.0,2129585.0,6598014831.0,331.0
2001-04-22,3091.0,3100.0,3050.0,3084.0,3084.0,3087.0,1014348.0,3112179770.0,383.0
2001-04-23,3086.0,3098.0,3085.0,3090.0,3090.0,3084.0,495008.0,1529794816.0,410.0
2001-04-24,3089.0,3130.0,3089.0,3130.0,3130.0,3090.0,705864.0,2196484253.0,419.0
2001-04-25,3202.0,3286.0,3130.0,3286.0,3286.0,3130.0,94443.0,307808716.0,107.0
2001-04-28,3450.0,3450.0,3360.0,3450.0,3450.0,3286.0,962280.0,3313926256.0,611.0
2001-04-29,3450.0,3610.0,3440.0,3520.0,3520.0,3450.0,651640.0,2295314354.0,430.0
2001-04-30,3550.0,3590.0,3520.0,3531.0,3531.0,3520.0,515842.0,1834287435.0,424.0
2001-05-01,3549.0,3559.0,3502.0,3536.0,3536.0,3531.0,415255.0,1473195131.0,390.0
2001-05-02,3530.0,3530.0,3420.0,3420.0,3420.0,3536.0,307281.0,1067293261.0,347.0
2001-05-05,3411.0,3420.0,3370.0,3408.0,3408.0,3420.0,470082.0,1599525490.0,419.0
2001-05-06,3430.0,3470.0,3410.0,3455.0,3455.0,3408.0,670450.0,2311560861.0,405.0
2001-05-07,3455.0,3590.0,3455.0,3590.0,3590.0,3455.0,525826.0,1842285659.0,359.0
2001-05-08,3590.0,3649.0,3505.0,3598.0,3598.0,3590.0,642528.0,2293543983.0,357.0
2001-05-09,3595.0,3600.0,3565.0,3576.0,3576.0,3598.0,290450.0,1040455849.0,257.0
2001-05-12,3577.0,3579.0,3501.0,3519.0,3519.0,3576.0,180715.0,640421450.0,211.0
2001-05-13,3510.0,3520.0,3451.0,3517.0,3517.0,3519.0,367043.0,1284013846.0,367.0
2001-05-15,3517.0,3517.0,3499.0,3503.0,3503.0,3517.0,283850.0,995082643.0,272.0
2001-05-16,3503.0,3510.0,3490.0,3500.0,3500.0,3503.0,339597.0,1189322545.0,295.0
