date,open,high,low,close,last,yesterday,volume,value,trades
2001-04-03,3790.0,3790.0,3790.0,3790.0,3790.0,0.0,300.0,1137000.0,4.0
2001-04-21,3619.0,3630.0,3619.0,3630.0,3630.0,3790.0,21155.0,76668195.0,15.0
2001-04-22,3630.0,3789.0,3630.0,3789.0,3789.0,3630.0,4390.0,16568840.0,7.0
2001-04-23,3789.0,3800.0,3789.0,3800.0,3800.0,3789.0,1000.0,3795240.0,4.0
2001-04-25,3750.0,3750.0,3749.0,3750.0,3750.0,3800.0,3323.0,12461200.0,3.0
2001-04-28,3749.0,3800.0,3749.0,3800.0,3800.0,3750.0,166276.0,627999097.0,36.0
2001-04-29,3900.0,3900.0,3800.0,3802.0,3802.0,3800.0,188613.0,721971700.0,33.0
2001-04-30,3863.0,3992.0,3863.0,3992.0,3992.0,3802.0,40000.0,155560000.0,21.0
2001-05-01,4191.0,4191.0,4191.0,4191.0,4191.0,3992.0,1716.0,7191756.0,3.0
2001-05-02,4400.0,4400.0,4400.0,4400.0,4400.0,4191.0,31000.0,136400000.0,24.0
2001-05-05,4620.0,4620.0,4620.0,4620.0,4620.0,4400.0,1000.0,4620000.0,1.0
2001-05-06,4851.0,4851.0,4851.0,4851.0,4851.0,4620.0,1500.0,7276500.0,3.0
2001-05-07,5093.0,5093.0,5090.0,5093.0,5093.0,4851.0,382500.0,1948063500.0,106.0
2001-05-08,5347.0,5347.0,5347.0,5347.0,5347.0,5093.0,8190.0,43791930.0,6.0
2001-06-16,6860.0,9000.0,6800.0,6834.0,6834.0,5347.0,150207.0,1061773599.0,63.0
2001-06-17,6835.0,6902.0,6835.0,6902.0,6902.0,6834.0,52025.0,358798150.0,44.0
2001-06-18,6971.0,6971.0,6902.0,6950.0,6950.0,6902.0,265107.0,1846719690.0,156.0
2001-06-19,6950.0,7010.0,6950.0,7009.0,7009.0,6950.0,136738.0,954713900.0,100.0
2001-06-20,7050.0,7079.0,7050.0,7079.0,7079.0,7009.0,107860.0,763091237.0,87.0
2001-06-23,7100.0,7149.0,7081.0,7149.0,7149.0,7079.0,24400.0,173630000.0,27.0
2001-06-24,7220.0,7220.0,7220.0,7220.0,7220.0,7149.0,19725.0,142414500.0,19.0
2001-06-25,7292.0,7292.0,7292.0,7292.0,7292.0,7220.0,11500.0,83858000.0,17.0
2001-06-26,7364.0,7364.0,7364.0,7364.0,7364.0,7292.0,28500.0,209874000.0,30.0
2001-06-27,7437.0,7437.0,7437.0,7437.0,7437.0,7364.0,74882.0,556897434.0,53.0
2001-06-30,7511.0,7511.0,7511.0,7511.0,7511.0,7437.0,36050.0,270771550.0,37.0
2001-07-01,7586.0,7586.0,7586.0,7586.0,7586.0,7511.0,34000.0,257924000.0,33.0
2001-07-02,7661.0,7661.0,7661.0,7661.0,7661.0,7586.0,64000.0,490304000.0,54.0
2001-07-03,7737.0,7737.0,7737.0,7737.0,7737.0,7661.0,67266.0,520437042.0,61.0
2001-07-04,7814.0,7814.0,7660.0,7660.0,7660.0,7737.0,225935.0,1740826729.0,139.0
2001-07-07,7584.0,7690.0,7584.0,7660.0,7660.0,7660.0,222159.0,1688036173.0,136.0
2001-07-08,7720.0,7736.0,7720.0,7736.0,7736.0,7660.0,66917.0,517637912.0,31.0
2001-07-09,7813.0,7813.0,7813.0,7813.0,7813.0,7736.0,16098.0,125773674.0,20.0
2001-07-10,7891.0,7891.0,7890.0,7891.0,7891.0,7813.0,57600.0,454516139.0,57.0
2001-07-11,7969.0,7969.0,7969.0,7969.0,7969.0,7891.0,19334.0,154072646.0,30.0
2001-08-19,9999.0,10101.0,8500.0,9800.0,9800.0,7969.0,84723.0,832946356.0,99.0
2001-08-20,9499.0,9800.0,9312.0,9312.0,9312.0,9800.0,45764.0,433859197.0,50.0
2001-08-21,9287.0,9287.0,9000.0,9000.0,9000.0,9312.0,553.0,5021372.0,3.0
2001-08-22,8998.0,9150.0,8979.0,9103.0,9103.0,9000.0,52157.0,472937833.0,51.0
2001-08-25,9102.0,9350.0,9102.0,9322.0,9322.0,9103.0,18133.0,168041018.0,29.0
2001-08-26,9255.0,9322.0,9200.0,9200.0,9200.0,9322.0,14592.0,135089933.0,36.0
2001-08-27,9011.0,9011.0,8850.0,8900.0,8900.0,9200.0,22223.0,197975000.0,32.0
2001-08-28,8900.0,8900.0,8849.0,8849.0,8849.0,8900.0,21002.0,186381665.0,42.0
2001-08-29,8801.0,8801.0,8700.0,8700.0,8700.0,8849.0,15493.0,136156845.0,14.0
2001-09-01,8650.0,8687.0,8550.0,8550.0,8550.0,8700.0,1700.0,14628700.0,6.0
2001-09-02,8470.0,8499.0,8200.0,8200.0,8200.0,8550.0,37670.0,311422020.0,19.0
2001-09-03,8130.0,8130.0,8110.0,8110.0,8110.0,8200.0,25325.0,205737745.0,37.0
2001-09-04,8003.0,8004.0,7949.0,7949.0,7949.0,8110.0,25470.0,202909344.0,27.0
2001-09-05,7899.0,7900.0,7600.0,7711.0,7711.0,7949.0,50860.0,394276190.0,45.0
2001-09-08,7721.0,8096.0,7710.0,8096.0,8096.0,7711.0,98906.0,776051594.0,105.0
2001-09-09,8200.0,8201.0,8096.0,8121.0,8121.0,8096.0,87376.0,714788170.0,68.0
2001-09-10,8121.0,8121.0,7750.0,7754.0,7754.0,8121.0,23339.0,183286814.0,23.0
2001-09-11,7700.0,7760.0,7550.0,7550.0,7550.0,7754.0,18407.0,141310055.0,29.0
2001-09-12,7401.0,7422.0,7200.0,7257.0,7257.0,7550.0,22153.0,160533668.0,44.0
2001-09-15,7311.0,7400.0,7300.0,7400.0,7400.0,7257.0,15565.0,113838520.0,15.0
2001-09-16,7324.0,7324.0,7200.0,7200.0,7200.0,7400.0,16020.0,116117960.0,24.0
2001-09-17,6840.0,6840.0,6840.0,6840.0,6840.0,7200.0,4000.0,27360000.0,2.0
2001-09-18,6830.0,6830.0,6699.0,6712.0,6712.0,6840.0,22797.0,153173907.0,30.0
2001-09-19,7000.0,7047.0,6800.0,7047.0,7047.0,6712.0,22533.0,155346770.0,27.0
2001-09-22,7298.0,7399.0,7298.0,7399.0,7399.0,7047.0,9981.0,73388879.0,14.0
2001-09-23,7600.0,7768.0,7412.0,7500.0,7500.0,7399.0,47955.0,365696530.0,47.0
2001-09-24,7399.0,7399.0,7125.0,7200.0,7200.0,7500.0,8416.0,61399262.0,13.0
2001-09-25,7200.0,7200.0,7199.0,7200.0,7200.0,7200.0,12350.0,88919500.0,22.0
2001-09-26,7206.0,7206.0,7003.0,7003.0,7003.0,7200.0,16100.0,114280269.0,23.0
2001-09-29,6900.0,6990.0,6900.0,6901.0,6901.0,7003.0,9735.0,67228799.0,20.0
2001-09-30,6900.0,7200.0,6899.0,7200.0,7200.0,6901.0,30602.0,213856419.0,28.0
2001-10-02,7400.0,7465.0,7246.0,7280.0,7280.0,7200.0,20605.0,151372472.0,28.0
2001-10-03,7187.0,7200.0,7187.0,7193.0,7193.0,7280.0,45563.0,327716685.0,32.0
2001-10-06,7193.0,7200.0,7193.0,7193.0,7193.0,7193.0,6590.0,47415170.0,10.0
2001-10-07,7174.0,7200.0,7174.0,7200.0,7200.0,7193.0,12478.0,89646656.0,11.0
2001-10-08,7180.0,7200.0,7011.0,7015.0,7015.0,7200.0,3858.0,27269475.0,7.0
2001-10-09,6900.0,6900.0,6900.0,6900.0,6900.0,7015.0,7500.0,51750000.0,8.0
2001-10-10,6850.0,6850.0,6700.0,6700.0,6700.0,6900.0,26444.0,178111800.0,21.0
2001-10-13,6700.0,7035.0,6700.0,6850.0,6850.0,6700.0,40843.0,283244592.0,44.0
2001-10-14,6900.0,7000.0,6900.0,7000.0,7000.0,6850.0,15400.0,106675000.0,12.0
2001-10-16,7194.0,7350.0,7000.0,7350.0,7350.0,7000.0,24063.0,173713190.0,29.0
2001-10-17,7413.0,7452.0,7184.0,7200.0,7200.0,7350.0,33723.0,248903129.0,31.0
2001-10-20,7201.0,7347.0,7200.0,7347.0,7347.0,7200.0,8847.0,64353209.0,15.0
2001-10-21,7251.0,7350.0,7220.0,7250.0,7250.0,7347.0,17746.0,129764541.0,25.0
2001-10-22,7440.0,7450.0,7250.0,7400.0,7400.0,7250.0,40356.0,297131955.0,39.0
2001-10-23,7400.0,7400.0,7350.0,7350.0,7350.0,7400.0,17068.0,126282950.0,16.0
2001-10-24,7299.0,7310.0,7261.0,7310.0,7310.0,7350.0,18737.0,136703872.0,30.0
2001-10-27,7310.0,7310.0,7305.0,7305.0,7305.0,7310.0,428.0,3127930.0,2.0
2001-10-29,7234.0,7234.0,7209.0,7210.0,7210.0,7305.0,2650.0,19109250.0,4.0
2001-10-31,7101.0,7150.0,7100.0,7100.0,7100.0,7210.0,11118.0,78999640.0,18.0
2001-11-03,7100.0,7350.0,7100.0,7300.0,7300.0,7100.0,17358.0,125379190.0,17.0
2001-11-04,7350.0,7449.0,7350.0,7350.0,7350.0,7300.0,20215.0,149625298.0,18.0
2001-11-05,7400.0,7500.0,7400.0,7500.0,7500.0,7350.0,10493.0,78659500.0,10.0
2001-11-06,7600.0,7600.0,7421.0,7421.0,7421.0,7500.0,5900.0,43963939.0,7.0
2001-11-07,7420.0,7421.0,7300.0,7300.0,7300.0,7421.0,5463.0,40160980.0,8.0
2001-11-10,7298.0,7300.0,7180.0,7300.0,7300.0,7300.0,150343.0,1087048819.0,44.0
2001-11-11,7401.0,7403.0,7398.0,7400.0,7400.0,7300.0,10843.0,80233330.0,15.0
2001-11-12,7500.0,7500.0,7400.0,7400.0,7400.0,7400.0,7654.0,57204020.0,11.0
2001-11-13,7389.0,7389.0,7294.0,7300.0,7300.0,7400.0,12264.0,89577854.0,15.0
2001-11-14,7301.0,7310.0,7301.0,7301.0,7301.0,7300.0,5125.0,37424775.0,10.0
2001-11-17,7223.0,7223.0,7222.0,7222.0,7222.0,7301.0,1590.0,11483710.0,5.0
2001-11-18,7222.0,7222.0,7200.0,7222.0,7222.0,7222.0,4000.0,28873700.0,4.0
2001-11-19,7200.0,7200.0,7200.0,7200.0,7200.0,7222.0,13213.0,95133600.0,11.0
2001-11-20,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,2000.0,14400000.0,4.0
2001-11-21,7200.0,7250.0,7060.0,7200.0,7200.0,7200.0,67089.0,476103740.0,46.0
2001-11-24,7307.0,7380.0,7250.0,7380.0,7380.0,7200.0,19594.0,143469544.0,28.0
2001-11-25,7390.0,7450.0,7390.0,7450.0,7450.0,7380.0,46009.0,340664434.0,39.0
2001-11-26,7660.0,7701.0,7450.0,7700.0,7700.0,7450.0,43169.0,327949804.0,41.0
2001-11-27,7699.0,7750.0,7699.0,7700.0,7700.0,7700.0,25485.0,196507341.0,39.0
2001-11-28,7677.0,7704.0,7649.0,7704.0,7704.0,7700.0,28451.0,218594889.0,26.0
2001-12-02,7675.0,7700.0,7650.0,7700.0,7700.0,7704.0,30850.0,236988080.0,29.0
2001-12-03,7699.0,7851.0,7699.0,7850.0,7850.0,7700.0,20546.0,159841834.0,19.0
2001-12-04,7851.0,8242.0,7850.0,8242.0,8242.0,7850.0,22967.0,184177500.0,32.0
2001-12-05,8230.0,8400.0,8230.0,8350.0,8350.0,8242.0,19814.0,165347988.0,23.0
2001-12-08,8352.0,8767.0,8352.0,8661.0,8661.0,8350.0,32442.0,278323546.0,33.0
2001-12-09,8660.0,8700.0,8660.0,8700.0,8700.0,8661.0,8610.0,74683400.0,25.0
2001-12-10,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,5500.0,47850000.0,11.0
2001-12-11,8800.0,8900.0,8700.0,8850.0,8850.0,8700.0,49208.0,436478165.0,39.0
2001-12-12,9000.0,9200.0,8899.0,9200.0,9200.0,8850.0,22800.0,206119100.0,28.0
2001-12-15,9250.0,9660.0,9250.0,9660.0,9660.0,9200.0,45550.0,437114700.0,58.0
2001-12-17,9660.0,9700.0,9450.0,9450.0,9450.0,9660.0,30515.0,294012864.0,28.0
2001-12-18,9300.0,9300.0,9000.0,9199.0,9199.0,9450.0,14684.0,133134610.0,22.0
2001-12-19,9185.0,9186.0,9002.0,9100.0,9100.0,9199.0,23865.0,216311932.0,32.0
2001-12-22,9400.0,9401.0,9149.0,9400.0,9400.0,9100.0,43553.0,407653692.0,43.0
2001-12-23,9501.0,9800.0,9500.0,9800.0,9800.0,9400.0,37360.0,359953600.0,49.0
2001-12-24,9800.0,10000.0,9800.0,9802.0,9802.0,9800.0,55436.0,544738892.0,39.0
2001-12-25,9700.0,9898.0,9700.0,9897.0,9897.0,9802.0,37042.0,363304708.0,39.0
2001-12-26,9895.0,10380.0,9895.0,10380.0,10380.0,9897.0,40062.0,405302308.0,63.0
2001-12-29,10380.0,10700.0,10380.0,10700.0,10700.0,10380.0,18570.0,194543620.0,21.0
2001-12-30,10750.0,10750.0,10400.0,10400.0,10400.0,10700.0,6817.0,72759067.0,14.0
2001-12-31,10370.0,10500.0,10280.0,10500.0,10500.0,10400.0,13735.0,142000055.0,20.0
2002-01-01,10750.0,10750.0,10500.0,10699.0,10699.0,10500.0,38303.0,410254893.0,19.0
2002-01-02,10599.0,10599.0,10400.0,10400.0,10400.0,10699.0,9712.0,101509755.0,18.0
2002-01-05,10600.0,10650.0,10494.0,10498.0,10498.0,10400.0,53334.0,561835630.0,47.0
2002-01-06,10650.0,11022.0,10500.0,11022.0,11022.0,10498.0,102470.0,1097120925.0,83.0
2002-01-07,11573.0,11573.0,11295.0,11399.0,11399.0,11022.0,39400.0,452309675.0,38.0
2002-01-08,11390.0,11600.0,11300.0,11600.0,11600.0,11399.0,97849.0,1117895500.0,101.0
2002-01-12,12050.0,12150.0,11726.0,12149.0,12149.0,11600.0,36153.0,436281838.0,39.0
2002-01-13,12147.0,12150.0,12143.0,12143.0,12143.0,12149.0,10504.0,127609689.0,22.0
2002-01-14,11840.0,12006.0,11840.0,11840.0,11840.0,12143.0,13183.0,157069720.0,12.0
2002-01-15,11839.0,11840.0,11544.0,11627.0,11627.0,11840.0,77217.0,903970376.0,87.0
2002-03-02,13532.0,14002.0,12500.0,13200.0,13200.0,11627.0,49000.0,661487008.0,50.0
2002-03-04,13405.0,13860.0,13200.0,13860.0,13860.0,13200.0,1495633.0,20188305900.0,95.0
2002-03-05,14000.0,14149.0,13860.0,13866.0,13866.0,13860.0,95055.0,1328692238.0,79.0
2002-03-06,13862.0,13862.0,13750.0,13776.0,13776.0,13866.0,16997.0,234354177.0,29.0
2002-03-09,13700.0,13800.0,13648.0,13800.0,13800.0,13776.0,67811.0,929940189.0,57.0
2002-03-10,13900.0,13910.0,13899.0,13900.0,13900.0,13800.0,66380.0,922696000.0,69.0
2002-03-11,14000.0,14213.0,14000.0,14066.0,14066.0,13900.0,75399.0,1068359157.0,76.0
2002-03-12,14201.0,14209.0,14090.0,14090.0,14090.0,14066.0,114045.0,1618671735.0,94.0
2002-03-13,14300.0,14300.0,14090.0,14100.0,14100.0,14090.0,63171.0,894667515.0,45.0
2002-03-16,14100.0,14120.0,13998.0,14120.0,14120.0,14100.0,43822.0,615389356.0,43.0
2002-03-17,14119.0,14120.0,13990.0,14090.0,14090.0,14120.0,13252.0,186149340.0,24.0
2002-03-18,14000.0,14070.0,13900.0,14070.0,14070.0,14090.0,5400.0,75600595.0,17.0
2002-03-19,13821.0,14200.0,13820.0,14200.0,14200.0,14070.0,17963.0,251734874.0,26.0
2002-03-26,14200.0,14307.0,14200.0,14307.0,14307.0,14200.0,3360.0,48009220.0,6.0
2002-03-27,14405.0,14430.0,14346.0,14428.0,14428.0,14307.0,50600.0,728781219.0,32.0
2002-03-30,14422.0,14431.0,14341.0,14431.0,14431.0,14428.0,9884.0,142265948.0,16.0
2002-03-31,14502.0,14570.0,14499.0,14570.0,14570.0,14431.0,44229.0,643434896.0,40.0
2002-04-03,14570.0,14570.0,14514.0,14568.0,14568.0,14570.0,18292.0,266021538.0,21.0
2002-04-06,14600.0,14700.0,14600.0,14651.0,14651.0,14568.0,48490.0,710347550.0,58.0
2002-04-07,14651.0,14655.0,14501.0,14650.0,14650.0,14651.0,20800.0,304364881.0,41.0
2002-04-08,14642.0,14642.0,14447.0,14600.0,14600.0,14650.0,19485.0,282796340.0,34.0
2002-04-09,14500.0,14598.0,14422.0,14496.0,14496.0,14600.0,18925.0,274677515.0,19.0
2002-04-10,14360.0,14550.0,14251.0,14550.0,14550.0,14496.0,54457.0,783824550.0,73.0
2002-04-13,14550.0,14550.0,14550.0,14550.0,14550.0,14550.0,6696.0,97426800.0,17.0
2002-04-14,14552.0,14850.0,14547.0,14834.0,14834.0,14550.0,110131.0,1621119413.0,63.0
2002-04-15,14900.0,15110.0,14900.0,15039.0,15039.0,14834.0,105400.0,1578096960.0,46.0
2002-04-16,15789.0,15790.0,15650.0,15759.0,15759.0,15039.0,107253.0,1687347676.0,124.0
2002-06-08,23999.0,25001.0,22602.0,23999.0,23999.0,15759.0,405969.0,9483648548.0,352.0
2002-06-09,24200.0,24238.0,24200.0,24238.0,24238.0,23999.0,9091.0,220304338.0,17.0
2002-06-10,24480.0,24480.0,24480.0,24480.0,24480.0,24238.0,3000.0,73440000.0,8.0
2002-06-11,24724.0,24724.0,24724.0,24724.0,24724.0,24480.0,4900.0,121147600.0,10.0
2002-06-12,24971.0,24971.0,24971.0,24971.0,24971.0,24724.0,2810.0,70168510.0,4.0
2002-06-15,25220.0,25220.0,25220.0,25220.0,25220.0,24971.0,6648.0,167662560.0,10.0
2002-06-16,25472.0,25472.0,25472.0,25472.0,25472.0,25220.0,31562.0,803947264.0,49.0
2002-06-17,25726.0,25726.0,25726.0,25726.0,25726.0,25472.0,3885.0,99945510.0,12.0
2002-06-18,25983.0,25983.0,25983.0,25983.0,25983.0,25726.0,2738.0,71141454.0,13.0
2002-06-19,26242.0,26242.0,26242.0,26242.0,26242.0,25983.0,2126.0,55790492.0,5.0
2002-06-22,26504.0,26504.0,26504.0,26504.0,26504.0,26242.0,3035.0,80439640.0,8.0
2002-06-23,26769.0,26769.0,26769.0,26769.0,26769.0,26504.0,1800.0,48184200.0,4.0
2002-06-24,27036.0,27036.0,27036.0,27036.0,27036.0,26769.0,7820.0,211421520.0,14.0
2002-06-25,27579.0,27711.0,27000.0,27711.0,27711.0,27036.0,217658.0,6002910741.0,300.0
2002-06-26,27711.0,28403.0,27682.0,28403.0,28403.0,27711.0,95126.0,2639535922.0,130.0
2002-06-29,28910.0,29000.0,28503.0,28540.0,28540.0,28403.0,56302.0,1615937904.0,81.0
2002-06-30,28515.0,28515.0,28137.0,28194.0,28194.0,28540.0,71925.0,2033040532.0,64.0
2002-07-01,27500.0,27980.0,27490.0,27490.0,27490.0,28194.0,27190.0,750594400.0,33.0
2002-07-02,26803.0,26803.0,26803.0,26803.0,26803.0,27490.0,1100.0,29483300.0,5.0
2002-07-03,26133.0,26133.0,26133.0,26133.0,26133.0,26803.0,1367.0,35723811.0,7.0
2002-07-06,25480.0,25480.0,25480.0,25480.0,25480.0,26133.0,3716.0,94683680.0,8.0
2002-07-07,26117.0,26117.0,24860.0,25900.0,25900.0,25480.0,79547.0,2042134125.0,145.0
2002-07-08,25907.0,26000.0,25600.0,25600.0,25600.0,25900.0,29044.0,753350373.0,64.0
2002-09-01,23000.0,23200.0,21200.0,23000.0,23000.0,25600.0,217344.0,4831818689.0,147.0
2002-09-02,22937.0,22994.0,21850.0,22440.0,22440.0,23000.0,108621.0,2388473233.0,69.0
2002-09-03,21500.0,21993.0,21500.0,21990.0,21990.0,22440.0,114486.0,2504027470.0,55.0
2002-09-04,21664.0,21699.0,21400.0,21400.0,21400.0,21990.0,3974.0,85962724.0,5.0
2002-09-07,20330.0,20330.0,20330.0,20330.0,20330.0,21400.0,5578.0,113400740.0,9.0
2002-09-08,19997.0,19997.0,19314.0,19314.0,19314.0,20330.0,6208.0,120685019.0,8.0
2002-09-09,18349.0,18349.0,18349.0,18349.0,18349.0,19314.0,50669.0,929725481.0,38.0
2002-09-10,18370.0,19266.0,17432.0,19266.0,19266.0,18349.0,41316.0,749292971.0,72.0
2002-09-11,19302.0,20229.0,19302.0,20229.0,20229.0,19266.0,18243.0,366603651.0,35.0
2002-09-14,21239.0,21240.0,20229.0,20229.0,20229.0,20229.0,37072.0,769873440.0,39.0
2002-09-15,20214.0,20214.0,19590.0,19590.0,19590.0,20229.0,7247.0,145407272.0,16.0
2002-09-16,19479.0,19500.0,19389.0,19389.0,19389.0,19590.0,4811.0,93681474.0,13.0
2002-09-17,19010.0,19010.0,18749.0,18750.0,18750.0,19389.0,19337.0,365484197.0,28.0
2002-09-18,18750.0,18752.0,18749.0,18752.0,18752.0,18750.0,5706.0,106988830.0,17.0
2002-09-22,18750.0,18753.0,18750.0,18750.0,18750.0,18752.0,6424.0,120451260.0,13.0
2002-09-23,18610.0,18650.0,18000.0,18001.0,18001.0,18750.0,19951.0,370161086.0,29.0
2002-09-24,18001.0,18001.0,17800.0,17800.0,17800.0,18001.0,4688.0,84068688.0,10.0
2002-09-25,17800.0,17800.0,17499.0,17499.0,17499.0,17800.0,14958.0,262654050.0,23.0
2002-09-28,17298.0,17300.0,17000.0,17100.0,17100.0,17499.0,22151.0,379386404.0,25.0
2002-09-29,17100.0,17950.0,17100.0,17909.0,17909.0,17100.0,21007.0,369052331.0,35.0
2002-09-30,17909.0,18601.0,17909.0,18601.0,18601.0,17909.0,3396.0,61811999.0,7.0
2002-10-01,19000.0,19043.0,18613.0,19043.0,19043.0,18601.0,4990.0,94771920.0,12.0
2002-10-02,19082.0,19082.0,18393.0,18395.0,18395.0,19043.0,29874.0,560644517.0,45.0
2002-10-06,18390.0,18411.0,18386.0,18410.0,18410.0,18395.0,15484.0,284821474.0,46.0
2002-10-07,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,732.0,13476120.0,2.0
2002-10-09,18345.0,18345.0,18345.0,18345.0,18345.0,18410.0,162.0,2971890.0,1.0
2002-10-13,18000.0,18000.0,17800.0,17800.0,17800.0,18345.0,1601.0,28623400.0,5.0
2002-10-14,17601.0,17900.0,17494.0,17900.0,17900.0,17800.0,17721.0,312420481.0,26.0
2002-10-15,17700.0,17700.0,17670.0,17700.0,17700.0,17900.0,20250.0,358246750.0,8.0
2002-10-16,17847.0,17847.0,17500.0,17835.0,17835.0,17700.0,26007.0,462677495.0,25.0
2002-10-19,17836.0,18000.0,17835.0,18000.0,18000.0,17835.0,24124.0,431326160.0,18.0
2002-10-20,18900.0,18900.0,18339.0,18900.0,18900.0,18000.0,21702.0,409055200.0,20.0
