date,open,high,low,close,last,yesterday,volume,value,trades
2019-08-19,8400.0,8400.0,8400.0,8400.0,8400.0,1000.0,82499884.0,692999025600.0,645226.0
2019-08-21,8820.0,8820.0,8820.0,8650.0,8820.0,8400.0,89239.0,787087980.0,813.0
2019-08-24,9082.0,9082.0,9082.0,9082.0,9082.0,8650.0,160633.0,1458868906.0,1442.0
2019-08-25,9536.0,9536.0,9536.0,9536.0,9536.0,9082.0,193512.0,1845330432.0,1756.0
2019-08-26,10012.0,10012.0,10012.0,10012.0,10012.0,9536.0,168779.0,1689815348.0,1541.0
2019-08-27,10512.0,10512.0,10512.0,10512.0,10512.0,10012.0,317099.0,3333344688.0,2821.0
2019-08-28,11037.0,11037.0,11037.0,11037.0,11037.0,10512.0,341603.0,3770272311.0,3046.0
2019-08-31,11588.0,11588.0,11588.0,11588.0,11588.0,11037.0,431237.0,4997174356.0,3871.0
2019-09-01,12167.0,12167.0,12167.0,12167.0,12167.0,11588.0,500109.0,6084826203.0,4489.0
2019-09-02,12775.0,12775.0,12775.0,12775.0,12775.0,12167.0,365614.0,4670718850.0,2913.0
2019-09-04,13413.0,14083.0,13413.0,13952.0,14083.0,12775.0,3147444.0,43911893672.0,27921.0
2019-09-07,14649.0,14649.0,14649.0,14649.0,14649.0,13952.0,1077517.0,15784546533.0,9542.0
2019-09-08,15381.0,15381.0,15381.0,15381.0,15381.0,14649.0,1280906.0,19701615186.0,10084.0
2019-09-11,16150.0,16150.0,16150.0,16150.0,16150.0,15381.0,6652867.0,107443802050.0,7944.0
2019-09-14,16200.0,16957.0,15343.0,16481.0,16850.0,16150.0,19915474.0,328226524149.0,128328.0
2019-09-15,17305.0,17305.0,17000.0,17301.0,17305.0,16481.0,7849597.0,135807187849.0,47744.0
2019-09-16,18166.0,18166.0,18166.0,18166.0,18166.0,17301.0,1149134.0,20875168244.0,9316.0
2019-09-17,18777.0,19074.0,18166.0,18959.0,19074.0,18166.0,24375668.0,462127573800.0,62841.0
2019-09-18,19250.0,19890.0,18150.0,19050.0,19842.0,18959.0,14946030.0,284718668673.0,57697.0
2019-09-21,19750.0,20002.0,19750.0,19957.0,20002.0,19050.0,2865839.0,57192148542.0,8508.0
2019-09-22,20954.0,20954.0,20954.0,20954.0,20954.0,19957.0,150145.0,3146138330.0,640.0
2019-09-24,22001.0,23101.0,21951.0,22655.0,22700.0,20954.0,12703666.0,287798572893.0,19910.0
2019-09-25,22997.0,22997.0,21606.0,21985.0,21750.0,22655.0,13864404.0,304815264877.0,56456.0
2019-09-28,21400.0,22950.0,20954.0,21900.0,21830.0,21985.0,10702617.0,234391690220.0,30264.0
2019-09-29,21877.0,21890.0,20810.0,21076.0,20905.0,21900.0,9020019.0,190107027353.0,21200.0
2019-09-30,20700.0,21649.0,20200.0,20849.0,20800.0,21076.0,8594988.0,179195049993.0,18366.0
2019-10-01,21010.0,21660.0,20533.0,21131.0,20850.0,20849.0,6611432.0,139705350856.0,10679.0
2019-10-02,20871.0,21500.0,20700.0,21152.0,21140.0,21131.0,3200332.0,67693792067.0,7630.0
2019-10-05,21140.0,21180.0,20561.0,20909.0,20700.0,21152.0,4333089.0,90602600533.0,10631.0
2019-10-06,20501.0,20700.0,19864.0,20134.0,20080.0,20909.0,3490903.0,70284892513.0,7476.0
2019-10-07,20050.0,21140.0,19926.0,20985.0,21140.0,20134.0,7516224.0,157724671899.0,13720.0
2019-10-08,21174.0,22021.0,20001.0,21547.0,21004.0,20985.0,8154007.0,175691352509.0,13087.0
2019-10-09,20805.0,21500.0,20500.0,20828.0,20950.0,21547.0,2822044.0,58777010423.0,11469.0
2019-10-12,20800.0,21454.0,20202.0,20662.0,20595.0,20828.0,2829200.0,58457901480.0,7678.0
2019-10-13,20700.0,20880.0,19829.0,20237.0,19990.0,20662.0,2205617.0,44635015450.0,8046.0
2019-10-14,19800.0,19800.0,19226.0,19285.0,19226.0,20237.0,1197513.0,23093466655.0,1386.0
2019-10-15,18500.0,19055.0,18321.0,18457.0,18321.0,19285.0,1253359.0,23133439583.0,1406.0
2019-10-16,17535.0,17535.0,17535.0,17535.0,17535.0,18457.0,636008.0,11152400280.0,590.0
2019-10-20,16659.0,16659.0,16659.0,16659.0,16659.0,17535.0,156118.0,2600769762.0,202.0
2019-10-21,15827.0,15827.0,15827.0,15827.0,15827.0,16659.0,2222106.0,35169271662.0,603.0
2019-10-22,16202.0,16618.0,15040.0,16088.0,16300.0,15827.0,5742828.0,92388922459.0,5744.0
2019-10-23,16100.0,16100.0,15284.0,15424.0,15284.0,16088.0,2743334.0,42312803689.0,3706.0
2019-10-26,15110.0,15200.0,14653.0,14788.0,14800.0,15424.0,2424821.0,35858760435.0,4700.0
2019-10-28,14501.0,15527.0,14501.0,15407.0,15527.0,14788.0,1299290.0,20018080389.0,2080.0
2019-10-30,16090.0,16177.0,15746.0,16119.0,16177.0,15407.0,1439005.0,23195902770.0,2118.0
2019-11-02,16850.0,16850.0,15752.0,16302.0,16328.0,16119.0,2228668.0,36332425071.0,4054.0
2019-11-03,16350.0,16500.0,15750.0,16127.0,16134.0,16302.0,1940170.0,31288851461.0,3144.0
2019-11-04,16002.0,16300.0,15545.0,15965.0,15799.0,16127.0,1344240.0,21461100277.0,2870.0
2019-11-05,16190.0,16290.0,15800.0,16030.0,16233.0,15965.0,1135777.0,18206177497.0,2250.0
2019-11-09,16289.0,16831.0,16100.0,16709.0,16831.0,16030.0,995800.0,16638355911.0,2138.0
2019-11-10,17544.0,17544.0,17040.0,17439.0,17543.0,16709.0,4523693.0,78887817332.0,4658.0
2019-11-11,17380.0,17898.0,17000.0,17429.0,17228.0,17439.0,1499857.0,26141319819.0,2640.0
2019-11-12,17100.0,17552.0,16900.0,17148.0,17061.0,17429.0,1438173.0,24661494474.0,2648.0
2019-11-13,17010.0,17269.0,16621.0,16944.0,17250.0,17148.0,1427726.0,24191884445.0,2573.0
2019-11-16,17200.0,17791.0,16831.0,17662.0,17495.0,16944.0,3425621.0,60502049320.0,3468.0
2019-11-17,16955.0,17066.0,16779.0,16806.0,16779.0,17662.0,874793.0,14701873994.0,613.0
2019-11-18,15967.0,17499.0,15967.0,16458.0,16640.0,16806.0,2282338.0,37562310209.0,2087.0
2019-11-19,16988.0,17110.0,16601.0,16929.0,16850.0,16458.0,1255321.0,21251813196.0,1826.0
2019-11-20,16990.0,17200.0,16756.0,16937.0,17090.0,16929.0,1226629.0,20775625964.0,2054.0
2019-11-23,17240.0,17783.0,16875.0,17613.0,17783.0,16937.0,2503412.0,44092572372.0,2671.0
2019-11-24,17783.0,18493.0,17650.0,18243.0,18493.0,17613.0,2399321.0,43770357218.0,2717.0
2019-11-25,18888.0,19155.0,18500.0,18961.0,19155.0,18243.0,3850013.0,73000028211.0,3982.0
2019-11-26,19100.0,19390.0,18681.0,18913.0,18700.0,18961.0,1764259.0,33367017874.0,2593.0
2019-11-27,18500.0,18700.0,17980.0,18319.0,18320.0,18913.0,2023146.0,37062744212.0,2664.0
2019-11-30,18000.0,19190.0,17900.0,18530.0,18858.0,18319.0,2521586.0,46725667158.0,2906.0
2019-12-01,18560.0,19234.0,18560.0,18968.0,18888.0,18530.0,2306683.0,43754121266.0,2387.0
2019-12-02,19100.0,19200.0,18020.0,18283.0,18385.0,18968.0,3544256.0,64799543365.0,3577.0
2019-12-03,18900.0,19134.0,18380.0,18911.0,18996.0,18283.0,2364429.0,44713355100.0,3127.0
2019-12-04,18700.0,19100.0,18601.0,18838.0,19000.0,18911.0,1597153.0,30086511668.0,2316.0
2019-12-07,19299.0,19500.0,18953.0,19180.0,18961.0,18838.0,2042741.0,39180454295.0,2775.0
2019-12-08,18810.0,19160.0,18617.0,18932.0,18925.0,19180.0,1627263.0,30807475655.0,2790.0
2019-12-09,19001.0,19300.0,18952.0,19123.0,19125.0,18932.0,1987492.0,38005896273.0,3323.0
2019-12-10,19102.0,20079.0,19102.0,19886.0,19600.0,19123.0,4040552.0,80348636854.0,3990.0
2019-12-11,19404.0,20050.0,19000.0,19780.0,19700.0,19886.0,1619579.0,32035935945.0,2347.0
2019-12-14,19403.0,20350.0,19403.0,19927.0,20027.0,19780.0,1555916.0,31004890951.0,2671.0
2019-12-15,19686.0,20700.0,19686.0,20342.0,20179.0,19927.0,2308732.0,46963963623.0,2571.0
2019-12-16,20000.0,20920.0,20000.0,20312.0,20200.0,20342.0,1957116.0,39752760292.0,2674.0
2019-12-17,20000.0,20497.0,19861.0,19991.0,19983.0,20312.0,2578621.0,51548906895.0,3117.0
2019-12-18,19503.0,20000.0,19502.0,19738.0,19760.0,19991.0,1899692.0,37495681212.0,2406.0
2019-12-21,19352.0,20698.0,19352.0,19797.0,20482.0,19738.0,2994779.0,59287420724.0,4152.0
2019-12-22,20783.0,20786.0,20486.0,20706.0,20786.0,19797.0,3545045.0,73403350804.0,3744.0
2019-12-23,21600.0,21679.0,19950.0,21130.0,20988.0,20706.0,4278204.0,90397008995.0,4525.0
2019-12-24,21440.0,22186.0,21000.0,22072.0,22186.0,21130.0,9098544.0,200825579631.0,7169.0
2020-01-05,13599.0,14278.0,13599.0,13945.0,14278.0,13795.0,5675554.0,79147385420.0,2538.0
2020-01-07,14642.0,14642.0,13401.0,14267.0,14200.0,13945.0,11112644.0,158541537091.0,6010.0
2020-01-08,13982.0,14552.0,13982.0,14174.0,14552.0,14267.0,5269191.0,74686808341.0,2698.0
2020-01-11,14457.0,14457.0,14457.0,14457.0,14457.0,14174.0,380739.0,5504343723.0,146.0
2020-01-12,15179.0,15179.0,15179.0,15152.0,15179.0,14457.0,231174.0,3508990146.0,213.0
2020-01-13,15909.0,15909.0,15909.0,15909.0,15909.0,15152.0,275500.0,4382929500.0,278.0
2020-01-14,16704.0,16704.0,16704.0,16704.0,16704.0,15909.0,3138931.0,52432703424.0,982.0
2020-01-15,17299.0,17539.0,16704.0,17435.0,17539.0,16704.0,16282796.0,283883863165.0,7917.0
2020-01-18,17740.0,18150.0,16900.0,17391.0,17099.0,17435.0,14161321.0,246276322034.0,10301.0
2020-01-19,17389.0,17665.0,16757.0,17074.0,17016.0,17391.0,6852269.0,116995011583.0,5507.0
2020-01-20,17048.0,17049.0,16450.0,16645.0,16688.0,17074.0,6349387.0,105687460877.0,5237.0
2020-01-21,16560.0,16600.0,16019.0,16198.0,16050.0,16645.0,5581931.0,90415775636.0,4717.0
2020-01-22,16200.0,17007.0,16197.0,16939.0,17007.0,16198.0,3582666.0,60688001842.0,2020.0
2020-01-25,17785.0,17785.0,17200.0,17493.0,17361.0,16939.0,7195492.0,125871463571.0,5104.0
2020-01-26,17366.0,17644.0,16619.0,16935.0,16750.0,17493.0,7474948.0,126590163843.0,5866.0
2020-01-27,16619.0,17155.0,16220.0,16744.0,16745.0,16935.0,4802337.0,80411908447.0,3431.0
2020-01-28,16745.0,17412.0,16700.0,17059.0,16960.0,16744.0,4484512.0,76502646086.0,3783.0
2020-02-01,17100.0,17350.0,16500.0,16853.0,16798.0,17059.0,4877730.0,82202831750.0,3783.0
2020-02-02,16800.0,17690.0,16651.0,17410.0,17647.0,16853.0,7656771.0,133308106960.0,4947.0
2020-02-03,17990.0,17990.0,16800.0,17531.0,17288.0,17410.0,5449408.0,95532382207.0,4743.0
2020-02-04,17202.0,17400.0,16677.0,16923.0,16900.0,17531.0,5100404.0,86316226445.0,4280.0
2020-02-05,16700.0,17250.0,16671.0,16980.0,17070.0,16923.0,4171338.0,70830467925.0,4021.0
2020-02-08,17310.0,17820.0,17115.0,17568.0,17701.0,16980.0,8329812.0,146339597934.0,5287.0
2020-02-09,17835.0,17860.0,17155.0,17527.0,17500.0,17568.0,5663609.0,99265508253.0,5013.0
2020-02-10,17700.0,17700.0,16680.0,17081.0,17030.0,17527.0,4876673.0,83298143711.0,3597.0
2020-02-12,17000.0,17550.0,17000.0,17343.0,17300.0,17081.0,3939017.0,68312451106.0,3371.0
2020-02-15,17441.0,18210.0,17400.0,17858.0,18210.0,17343.0,7984192.0,142583475687.0,5285.0
2020-02-16,18750.0,18750.0,18750.0,18750.0,18750.0,17858.0,1808200.0,33903750000.0,1032.0
2020-02-17,19687.0,19687.0,18000.0,19451.0,19198.0,18750.0,16872351.0,328186109348.0,7212.0
2020-02-18,19005.0,19198.0,18479.0,18562.0,18479.0,19451.0,8035852.0,149161795978.0,4763.0
2020-02-19,18250.0,18800.0,18250.0,18560.0,18788.0,18562.0,7058688.0,131008588408.0,5226.0
2020-02-22,17632.0,19200.0,17632.0,18634.0,19010.0,18560.0,6286686.0,117146608417.0,3937.0
2020-02-23,19390.0,19560.0,19080.0,19390.0,19298.0,18634.0,6804970.0,131945410879.0,3695.0
2020-02-24,19500.0,19550.0,18680.0,19015.0,18860.0,19390.0,6625916.0,125991110275.0,4726.0
2020-02-25,19020.0,19895.0,18600.0,19237.0,19300.0,19015.0,7899525.0,151960758861.0,4915.0
2020-02-26,19237.0,19350.0,18276.0,18797.0,18377.0,19237.0,7673435.0,144235807676.0,5279.0
