date,open,high,low,close,last,yesterday,volume,value,trades
2025-12-13,8902.0,8902.0,8512.0,8656.0,8512.0,1000.0,589498659.0,5102623037304.0,1211772.0
2025-12-14,8910.0,8910.0,8910.0,8910.0,8910.0,8656.0,34242497.0,305100648270.0,6143.0
2025-12-15,9170.0,9170.0,9170.0,9170.0,9170.0,8910.0,34093750.0,312639687500.0,5141.0
2025-12-16,9440.0,9440.0,9440.0,9440.0,9440.0,9170.0,34162587.0,322494821280.0,4985.0
2025-12-17,9720.0,9720.0,9720.0,9720.0,9720.0,9440.0,35011293.0,340309767960.0,8161.0
2025-12-20,10010.0,10010.0,10010.0,10010.0,10010.0,9720.0,36990950.0,370279409500.0,11321.0
2025-12-21,10310.0,10310.0,10310.0,10310.0,10310.0,10010.0,52693167.0,543266551770.0,37005.0
2025-12-22,10610.0,10610.0,10560.0,10610.0,10610.0,10310.0,210827252.0,2236801714750.0,149319.0
2025-12-23,10630.0,10790.0,10300.0,10600.0,10620.0,10610.0,320375205.0,3396056411440.0,351185.0
2025-12-24,10690.0,10750.0,10360.0,10580.0,10550.0,10600.0,167278735.0,1769359817780.0,126236.0
2025-12-27,10700.0,10700.0,10460.0,10560.0,10530.0,10580.0,86853867.0,917018675440.0,50626.0
2025-12-28,10350.0,10530.0,10250.0,10360.0,10300.0,10560.0,101728401.0,1053634513420.0,72765.0
2025-12-29,10280.0,10370.0,10050.0,10080.0,10050.0,10360.0,64965400.0,655118944160.0,21020.0
2025-12-30,9780.0,9780.0,9780.0,9780.0,9780.0,10080.0,18115466.0,177169257480.0,2561.0
2025-12-31,9490.0,9900.0,9490.0,9650.0,9800.0,9780.0,64510418.0,622628654060.0,36245.0
2026-01-04,9500.0,9650.0,9370.0,9390.0,9370.0,9650.0,36802955.0,345622449030.0,21118.0
2026-01-05,9500.0,9670.0,9400.0,9650.0,9670.0,9390.0,28131703.0,271610757620.0,12273.0
2026-01-06,9850.0,9930.0,9730.0,9910.0,9930.0,9650.0,28713459.0,284522812780.0,9256.0
2026-01-07,10050.0,10050.0,9620.0,9660.0,9620.0,9910.0,39080154.0,377490370690.0,10417.0
2026-01-10,9380.0,9680.0,9380.0,9390.0,9380.0,9660.0,42160688.0,396080154030.0,8014.0
2026-01-11,9140.0,9550.0,9140.0,9300.0,9330.0,9390.0,30244479.0,281330420760.0,16554.0
2026-01-12,9500.0,9560.0,9220.0,9330.0,9340.0,9300.0,36349887.0,339165974460.0,17260.0
2026-01-13,9400.0,9420.0,9160.0,9330.0,9410.0,9330.0,27116459.0,253057926140.0,13864.0
2026-01-14,9230.0,9290.0,9060.0,9090.0,9180.0,9330.0,22079987.0,200629168040.0,14194.0
2026-01-18,9360.0,9360.0,9200.0,9330.0,9360.0,9090.0,19838107.0,185133150120.0,7909.0
2026-01-19,9380.0,9480.0,9150.0,9350.0,9360.0,9330.0,17087730.0,159763827210.0,9120.0
2026-01-20,9590.0,9590.0,9410.0,9520.0,9500.0,9350.0,8086050.0,76943193810.0,1793.0
2026-01-21,9680.0,9680.0,9540.0,9630.0,9620.0,9520.0,9150938.0,88151232430.0,3008.0
2026-01-24,9600.0,9600.0,9350.0,9360.0,9350.0,9630.0,9251278.0,86636345340.0,2982.0
2026-01-25,9080.0,9120.0,9080.0,9080.0,9080.0,9360.0,7468303.0,67813796360.0,1215.0
2026-01-26,8810.0,8810.0,8810.0,8810.0,8810.0,9080.0,4538150.0,39981101500.0,411.0
2026-01-27,8550.0,8550.0,8550.0,8550.0,8550.0,8810.0,6737540.0,57605967000.0,767.0
2026-01-28,8300.0,8550.0,8300.0,8340.0,8310.0,8550.0,42201464.0,352034040080.0,12427.0
2026-01-31,8130.0,8580.0,8090.0,8220.0,8090.0,8340.0,13475378.0,110708496440.0,4993.0
2026-02-01,7990.0,8340.0,7980.0,8160.0,8250.0,8220.0,17564273.0,143274613030.0,6340.0
2026-02-02,8150.0,8390.0,8150.0,8320.0,8390.0,8160.0,7735063.0,64366887250.0,4058.0
2026-02-03,8250.0,8460.0,8180.0,8310.0,8390.0,8320.0,10975033.0,91162549400.0,4316.0
2026-02-07,8400.0,8550.0,8390.0,8530.0,8550.0,8310.0,11528541.0,98375484120.0,4097.0
2026-02-08,8560.0,8680.0,8280.0,8450.0,8550.0,8530.0,16843461.0,142262963440.0,5521.0
2026-02-09,8250.0,8390.0,8200.0,8240.0,8300.0,8450.0,11466740.0,94452714130.0,5371.0
2026-02-10,8130.0,8400.0,8130.0,8260.0,8320.0,8240.0,4405254.0,36396761040.0,3302.0
2026-02-14,8250.0,8410.0,8020.0,8090.0,8020.0,8260.0,7148668.0,57806788270.0,2413.0
2026-02-15,7920.0,8000.0,7850.0,7850.0,7850.0,8090.0,4348677.0,34154531360.0,1017.0
2026-02-16,7630.0,7960.0,7620.0,7750.0,7890.0,7850.0,5367099.0,41621745890.0,2582.0
2026-02-17,7870.0,7980.0,7740.0,7860.0,7940.0,7750.0,4133548.0,32507749480.0,1750.0
2026-02-18,7970.0,7980.0,7630.0,7670.0,7710.0,7860.0,6397203.0,49054435580.0,2079.0
2026-02-21,7640.0,7640.0,7440.0,7500.0,7440.0,7670.0,15310614.0,114845848860.0,3234.0
2026-02-22,7480.0,7640.0,7380.0,7460.0,7590.0,7500.0,9580508.0,71504204680.0,3108.0
2026-02-23,7430.0,7680.0,7430.0,7510.0,7460.0,7460.0,4752350.0,35702607500.0,1784.0
2026-05-24,7730.0,7730.0,7730.0,7730.0,7730.0,7510.0,2446225.0,18909319250.0,1095.0
2026-05-25,7960.0,7960.0,7960.0,7960.0,7960.0,7730.0,3952086.0,31458604560.0,961.0
2026-05-26,8090.0,8090.0,7730.0,7850.0,7910.0,7960.0,23402497.0,183668759870.0,4180.0
2026-05-30,8040.0,8080.0,7930.0,8070.0,8080.0,7850.0,8024216.0,64754704030.0,1705.0
2026-05-31,8310.0,8310.0,8250.0,8310.0,8310.0,8070.0,27337066.0,227138530050.0,1838.0
2026-06-01,8490.0,8490.0,8070.0,8160.0,8070.0,8310.0,30294536.0,247156669880.0,4683.0
2026-06-02,8150.0,8330.0,7920.0,8120.0,8140.0,8160.0,33049930.0,268444507010.0,4865.0
2026-06-03,8110.0,8110.0,7880.0,7970.0,8050.0,8120.0,21115936.0,168262863770.0,4091.0
2026-06-06,8000.0,8200.0,7920.0,8180.0,8200.0,7970.0,17330396.0,141723883550.0,1874.0
2026-06-07,8400.0,8420.0,8300.0,8390.0,8410.0,8180.0,16589045.0,139239856320.0,3113.0
2026-06-08,8140.0,8140.0,8140.0,8140.0,8140.0,8390.0,1128493.0,9185933020.0,177.0
2026-06-09,8170.0,8380.0,8170.0,8380.0,8380.0,8140.0,15995047.0,134000273370.0,2062.0
2026-06-10,8620.0,8630.0,8340.0,8600.0,8630.0,8380.0,32088559.0,275914954830.0,4806.0
2026-06-13,8850.0,8850.0,8850.0,8850.0,8850.0,8600.0,11397415.0,100867122750.0,1355.0
2026-06-14,9110.0,9110.0,9110.0,9110.0,9110.0,8850.0,6661560.0,60686811600.0,1540.0
2026-06-15,9380.0,9380.0,9230.0,9370.0,9380.0,9110.0,17845608.0,167301385190.0,3172.0
2026-06-16,9500.0,9500.0,9090.0,9220.0,9090.0,9370.0,39837113.0,367105992210.0,3950.0
2026-06-17,8950.0,8950.0,8950.0,8950.0,8950.0,9220.0,3062215.0,27406824250.0,275.0
2026-06-20,8690.0,8690.0,8690.0,8690.0,8690.0,8950.0,16417681.0,142669647890.0,924.0
2026-06-21,8430.0,8430.0,8430.0,8430.0,8430.0,8690.0,23217287.0,195721729410.0,1251.0
2026-06-22,8180.0,8200.0,8180.0,8180.0,8180.0,8430.0,21470467.0,175641404070.0,1786.0
2026-06-29,7680.0,8140.0,7680.0,7720.0,7790.0,7910.0,16317608.0,125919762890.0,2424.0
2026-06-30,7720.0,7880.0,7500.0,7650.0,7680.0,7720.0,21645011.0,165681465920.0,3710.0
2026-07-01,7820.0,7820.0,7570.0,7720.0,7730.0,7650.0,8356993.0,64500839360.0,1946.0
2026-07-07,7700.0,7950.0,7700.0,7930.0,7940.0,7720.0,13671301.0,108349656030.0,1907.0
2026-07-08,7710.0,8000.0,7700.0,7720.0,7700.0,7930.0,14267381.0,110149276120.0,1952.0
2026-07-11,7490.0,7560.0,7490.0,7500.0,7490.0,7720.0,3685613.0,27624278980.0,550.0
2026-07-12,7280.0,7280.0,7280.0,7280.0,7280.0,7500.0,613670.0,4467517600.0,183.0
2026-07-13,7070.0,7350.0,7070.0,7090.0,7110.0,7280.0,12268537.0,87007381200.0,1778.0
2026-07-18,6880.0,6880.0,6880.0,6880.0,6880.0,7090.0,694485.0,4778056800.0,111.0
2026-07-19,6680.0,7060.0,6680.0,6850.0,6950.0,6880.0,12034781.0,82473250750.0,2123.0
2026-07-20,7030.0,7050.0,6840.0,7040.0,7050.0,6850.0,11901041.0,83769528280.0,1535.0
2026-07-21,7250.0,7250.0,7220.0,7250.0,7250.0,7040.0,13345897.0,96719308330.0,1288.0
2026-07-22,7040.0,7240.0,7040.0,7070.0,7080.0,7250.0,11936068.0,84358908450.0,1891.0
2026-07-25,7200.0,7200.0,6880.0,6990.0,6910.0,7070.0,7462923.0,52194526140.0,1658.0
2026-07-26,7120.0,7190.0,7120.0,7180.0,7190.0,6990.0,9968923.0,71600343850.0,1380.0
2026-07-27,7320.0,7320.0,7080.0,7190.0,7250.0,7180.0,11793880.0,84776756080.0,1843.0
2026-07-28,7290.0,7330.0,7150.0,7250.0,7280.0,7190.0,7418577.0,53813928210.0,1457.0
2026-07-29,7290.0,7290.0,7040.0,7080.0,7070.0,7250.0,7815606.0,55373137900.0,1427.0
2026-08-01,7030.0,7150.0,6970.0,7060.0,7060.0,7080.0,8366669.0,59075080970.0,1450.0
2026-08-02,7050.0,7250.0,7050.0,7200.0,7240.0,7060.0,8344526.0,60092416700.0,1435.0
2026-08-03,7200.0,7410.0,7200.0,7380.0,7410.0,7200.0,8807616.0,64968079680.0,1479.0
2026-08-05,7590.0,7590.0,7500.0,7530.0,7530.0,7380.0,13093868.0,98597673540.0,2154.0
2026-08-08,7690.0,7750.0,7600.0,7740.0,7750.0,7530.0,14928033.0,115610665080.0,1912.0
2026-08-09,7890.0,7890.0,7510.0,7540.0,7510.0,7740.0,19915370.0,150164397060.0,2206.0
2026-08-10,7500.0,7650.0,7390.0,7470.0,7480.0,7540.0,19909741.0,148797814830.0,3314.0
2026-08-11,7510.0,7580.0,7440.0,7500.0,7490.0,7470.0,6286830.0,47169982430.0,1599.0
2026-08-15,7530.0,7610.0,7440.0,7510.0,7490.0,7500.0,6034835.0,45334200680.0,1361.0
2026-08-16,7510.0,7730.0,7510.0,7700.0,7730.0,7510.0,12448153.0,95875095450.0,1646.0
2026-08-17,7820.0,7850.0,7720.0,7770.0,7790.0,7700.0,18292415.0,142147588650.0,3283.0
2026-08-18,7840.0,7840.0,7540.0,7630.0,7600.0,7770.0,13312128.0,101594409630.0,3414.0
2026-08-19,7550.0,7790.0,7510.0,7660.0,7650.0,7630.0,12449504.0,95335898220.0,4035.0
2026-08-22,7650.0,7840.0,7650.0,7720.0,7680.0,7660.0,11886761.0,91790273830.0,2170.0
2026-08-23,7780.0,7880.0,7660.0,7740.0,7740.0,7720.0,12044206.0,93173225330.0,2165.0
2026-08-24,7680.0,7810.0,7650.0,7730.0,7770.0,7740.0,12259537.0,94813821910.0,2318.0
2026-08-25,7740.0,7960.0,7700.0,7920.0,7960.0,7730.0,34654572.0,274378394620.0,3149.0
2026-08-26,8080.0,8140.0,7970.0,8070.0,8100.0,7920.0,14267019.0,115089729700.0,3340.0
2026-08-29,8250.0,8250.0,8000.0,8100.0,8100.0,8070.0,20807757.0,168601117140.0,4576.0
2026-08-31,7870.0,7910.0,7860.0,7870.0,7860.0,8100.0,25915056.0,203908804670.0,5626.0
2026-09-01,7890.0,8080.0,7670.0,7920.0,7720.0,7870.0,14773151.0,116968958480.0,2265.0
2026-09-02,7690.0,7840.0,7690.0,7750.0,7750.0,7920.0,12328410.0,95497128170.0,2049.0
2026-09-05,7760.0,7970.0,7760.0,7870.0,7830.0,7750.0,9933785.0,78213176520.0,1558.0
2026-09-06,7890.0,7970.0,7820.0,7900.0,7900.0,7870.0,11429218.0,90299743060.0,1856.0
2026-09-07,7930.0,8130.0,7930.0,8090.0,8130.0,7900.0,27265255.0,220542603990.0,3121.0
2026-09-08,8320.0,8320.0,8110.0,8190.0,8210.0,8090.0,9411410.0,77089133830.0,2236.0
2026-09-09,7960.0,8220.0,7960.0,8100.0,8130.0,8190.0,14194731.0,114971027360.0,2995.0
